Date,KOSPI 200,S&P 500,Nikkei 225,CSI 300
2017-10-05,316.27,2552.07,20628.56,3836.5
2017-10-06,316.27,2549.33,20690.71,3836.5
2017-10-09,316.27,2544.73,20690.71,3882.21
2017-10-10,322.49,2550.64,20823.51,3889.86
2017-10-11,326.12,2555.24,20881.27,3902.69
2017-10-12,328.11,2550.93,20954.72,3912.95
2017-10-13,327.35,2553.17,21155.18,3921.0
2017-10-16,327.82,2557.64,21255.56,3913.45
2017-10-17,328.51,2559.36,21336.12,3913.07
2017-10-18,328.4,2561.26,21363.05,3944.16
2017-10-19,326.47,2562.1,21448.52,3931.25
2017-10-20,328.89,2575.21,21457.64,3926.85
2017-10-23,329.45,2564.98,21696.65,3930.8
2017-10-24,328.96,2569.13,21805.17,3959.4
2017-10-25,329.31,2557.15,21707.62,3976.95
2017-10-26,326.99,2560.4,21739.78,3993.58
2017-10-27,329.23,2581.07,22008.45,4021.97
2017-10-30,330.38,2572.83,22011.67,4009.72
2017-10-31,333.57,2575.26,22011.61,4006.72
2017-11-01,338.76,2579.36,22420.08,3996.62
2017-11-02,337.53,2579.85,22539.12,3997.13
2017-11-03,338.83,2587.84,22539.12,3992.7
2017-11-06,337.4,2591.13,22548.35,4020.89
2017-11-07,336.76,2590.64,22937.6,4054.25
2017-11-08,337.8,2594.38,22913.82,4048.01
2017-11-09,337.14,2584.62,22868.71,4075.9
2017-11-10,335.96,2582.3,22681.42,4111.91
2017-11-13,334.33,2584.84,22380.99,4128.07
2017-11-14,333.62,2578.87,22380.01,4099.35
2017-11-15,332.17,2564.62,22028.32,4073.67
2017-11-16,334.36,2585.64,22351.12,4105.01
2017-11-17,334.18,2578.85,22396.8,4120.85
2017-11-20,332.92,2582.14,22261.76,4143.83
2017-11-21,333.51,2599.03,22416.48,4217.7
2017-11-22,335.49,2597.08,22523.15,4227.57
2017-11-23,334.51,2597.08,22523.15,4102.4
2017-11-24,335.44,2602.42,22550.85,4104.2
2017-11-27,329.53,2601.42,22495.99,4049.95
2017-11-28,330.99,2627.04,22486.24,4055.82
2017-11-29,330.68,2626.07,22597.2,4053.75
2017-11-30,325.25,2647.58,22724.96,4006.1
2017-12-01,324.78,2642.22,22819.03,3998.14
2017-12-04,328.77,2639.44,22707.16,4018.86
2017-12-05,329.61,2629.57,22622.38,4040.17
2017-12-06,324.52,2629.27,22177.04,4015.82
2017-12-07,323.59,2636.98,22498.03,3971.06
2017-12-08,324.68,2651.5,22811.08,4003.38
2017-12-11,325.09,2659.99,22938.73,4069.5
2017-12-12,324.07,2664.11,22866.17,4016.02
2017-12-13,326.18,2662.85,22758.07,4050.09
2017-12-14,324.74,2652.01,22694.45,4026.15
2017-12-15,326.23,2675.81,22553.22,3980.86
2017-12-18,326.6,2690.16,22901.77,3985.29
2017-12-19,326.76,2681.47,22868.0,4035.33
2017-12-20,325.79,2679.25,22891.72,4030.49
2017-12-21,319.72,2684.57,22866.1,4067.85
2017-12-22,321.21,2683.34,22902.76,4054.6
2017-12-25,321.21,2683.34,22939.18,4041.54
2017-12-26,318.89,2680.5,22892.69,4053.62
2017-12-27,320.25,2682.62,22911.21,3991.21
2017-12-28,324.74,2687.54,22783.98,4018.9
2017-12-29,324.74,2673.61,22764.94,4030.85
2018-01-02,326.0,2695.81,22764.94,4087.4
2018-01-03,327.13,2713.06,22764.94,4111.39
2018-01-04,324.58,2723.99,23506.33,4128.81
2018-01-05,328.97,2743.15,23714.53,4138.75
2018-01-08,331.28,2747.71,23714.53,4160.16
2018-01-09,330.25,2751.29,23849.99,4189.3
2018-01-10,327.61,2748.23,23788.2,4207.81
2018-01-11,325.67,2767.56,23710.43,4205.59
2018-01-12,326.72,2786.24,23653.82,4225.0
2018-01-15,327.39,2786.24,23714.88,4225.24
2018-01-16,330.02,2776.42,23951.81,4258.47
2018-01-17,329.19,2802.56,23868.34,4248.12
2018-01-18,329.13,2798.03,23763.37,4271.42
2018-01-19,329.52,2810.3,23808.06,4285.4
2018-01-22,326.27,2832.97,23816.33,4336.6
2018-01-23,330.93,2839.13,24124.15,4382.61
2018-01-24,330.91,2837.54,23940.78,4389.89
2018-01-25,334.08,2839.25,23669.49,4365.08
2018-01-26,335.38,2872.87,23631.88,4381.3
2018-01-29,338.05,2853.53,23629.34,4302.02
2018-01-30,333.4,2822.43,23291.97,4256.1
2018-01-31,333.38,2823.81,23098.29,4275.9
2018-02-01,333.36,2821.98,23486.11,4245.9
2018-02-02,327.01,2762.13,23274.53,4271.23
2018-02-05,323.29,2648.94,22682.08,4274.15
2018-02-06,318.01,2695.14,21610.24,4148.89
2018-02-07,310.48,2681.66,21645.37,4050.5
2018-02-08,311.62,2581.0,21890.86,4012.05
2018-02-09,304.83,2619.55,21382.62,3840.65
2018-02-12,308.13,2656.0,21382.62,3890.1
2018-02-13,310.87,2662.94,21244.68,3935.63
2018-02-14,314.4,2698.63,21154.17,3966.96
2018-02-15,314.4,2731.2,21464.98,3966.96
2018-02-16,314.4,2732.22,21720.25,3966.96
2018-02-19,316.61,2732.22,22149.21,3966.96
2018-02-20,312.83,2716.26,21925.1,3966.96
2018-02-21,314.47,2701.33,21970.81,3966.96
2018-02-22,312.17,2703.96,21736.44,4052.73
2018-02-23,316.81,2747.3,21892.78,4071.09
2018-02-26,317.34,2779.6,22153.63,4118.42
